mood,album,name,artist,popularity,release_date
Happy,,Gallan Goodiyaan,"Farhan Akhtar, Shankar Mahadevan, Yashita Sharma",100,
Happy,,Badtameez Dil,Benny Dayal,99,
Happy,,Balam Pichkari,"Vishal Dadlani, Shalmali Kholgade",98,
Happy,,Ilahi,Arijit Singh,97,
Happy,,Khaabon Ke Parinday,"Mohit Chauhan, Alyssa Mendonsa",96,
Happy,,Senorita,"Farhan Akhtar, Hrithik Roshan, Abhay Deol",95,
Happy,,Sooraj Ki Baahon Mein,"Dominique Cerejo, Clinton Cerejo, Loy Mendonsa",94,
Happy,,Aao Milo Chalo,"Shaan, Ustad Sultan Khan",93,
Happy,,Love You Zindagi,"Amit Trivedi, Jasleen Royal",92,
Happy,,Kar Gayi Chull,"Badshah, Fazilpuria, Sukriti Kakar, Neha Kakkar",91,
Happy,,Cutiepie,"Nakash Aziz, Pardeep Singh Sran",90,
Happy,,Nachde Ne Saare,"Jasleen Kaur Royal, Harshdeep Kaur, Siddharth Mahadevan",89,
Happy,,London Thumakda,"Labh Janjua, Sonu Kakkar, Neha Kakkar",88,
Happy,,Ainvayi Ainvayi,"Salim Merchant, Sunidhi Chauhan",87,
Happy,,Abhi Toh Party Shuru Hui Hai,"Badshah, Aastha",86,
Happy,,Dilliwaali Girlfriend,"Arijit Singh, Sunidhi Chauhan",85,
Happy,,Subah Subah,"Arijit Singh, Prakriti Kakar, Amaal Mallik",84,
Happy,,Sweety Tera Drama,"Dev Negi, Pawni Pandey, Shraddha Pandit",83,
Happy,,Morni Banke,"Guru Randhawa, Neha Kakkar",82,
Happy,,Jiya Re,Neeti Mohan,81,
Happy,,Patakha Guddi,Nooran Sisters,80,
Happy,,Matargashti,Mohit Chauhan,79,
Happy,,Mileya Mileya,"Jigar Saraiya, Rekha Bhardwaj",78,
Happy,,Ullu Ka Pattha,"Arijit Singh, Nikita Gandhi",77,
Happy,,Aaj Ki Party,Mika Singh,76,
Happy,,Happy,Pharrell Williams,75,
Happy,,Uptown Funk,"Mark Ronson, Bruno Mars",74,
Happy,,Can't Stop the Feeling!,Justin Timberlake,73,
Happy,,Levitating,Dua Lipa,72,
Happy,,Don't Start Now,Dua Lipa,71,
Happy,,Watermelon Sugar,Harry Styles,70,
Happy,,Espresso,Sabrina Carpenter,69,
Happy,,Dance The Night,Dua Lipa,68,
Happy,,Good as Hell,Lizzo,67,
Happy,,Treasure,Bruno Mars,66,
Happy,,24K Magic,Bruno Mars,65,
Happy,,On Top of the World,Imagine Dragons,64,
Happy,,Best Day of My Life,American Authors,63,
Happy,,Walking on Sunshine,Katrina and the Waves,62,
Happy,,Shut Up and Dance,WALK THE MOON,61,
Happy,,I Gotta Feeling,The Black Eyed Peas,60,
Happy,,September,"Earth, Wind & Fire",59,
Happy,,Mr. Blue Sky,Electric Light Orchestra,58,
Happy,,Adventure of a Lifetime,Coldplay,57,
Happy,,Sunday Best,Surfaces,56,
Happy,,Good Time,"Owl City, Carly Rae Jepsen",55,
Happy,,Shake It Off,Taylor Swift,54,
Happy,,Firework,Katy Perry,53,
Happy,,Dynamite,BTS,52,
Happy,,Blinding Lights,The Weeknd,51,
Sad,,Channa Mereya,Arijit Singh,100,
Sad,,Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",99,
Sad,,Hamari Adhuri Kahani,Arijit Singh,98,
Sad,,Tujhe Kitna Chahne Lage,Arijit Singh,97,
Sad,,Bekhayali,Sachet Tandon,96,
Sad,,Phir Bhi Tumko Chaahunga,"Arijit Singh, Shashaa Tirupati",95,
Sad,,Tum Hi Ho,Arijit Singh,94,
Sad,,Bhula Dena,Mustafa Zahid,93,
Sad,,Humdard,Arijit Singh,92,
Sad,,Shayad,Arijit Singh,91,
Sad,,Kaise Hua,Vishal Mishra,90,
Sad,,Main Rahoon Ya Na Rahoon,Armaan Malik,89,
Sad,,Iktara,"Kavita Seth, Amit Trivedi",88,
Sad,,Tadap Tadap,"KK, Dominique",87,
Sad,,Tera Yaar Hoon Main,Arijit Singh,86,
Sad,,Tu Jaane Na,Atif Aslam,85,
Sad,,Kahin Toh Hogi Woh,"Rashid Ali, Vasundhara Das",84,
Sad,,Tune Jo Na Kaha,Mohit Chauhan,83,
Sad,,Alvida,KK,82,
Sad,,Sach Keh Raha Hai Deewana,KK,81,
Sad,,Tere Bin,Atif Aslam,80,
